baselineWT_1	24hrsWT_1	30hrsWT_1	40hrsWT_1	48hrsWT_1	96hrsWT_1	7daysWT_1	4wksWT_1
ENSMUSG00000000402	0.00749023333333333	0.0127776	0.022818	0.00643833333333333	0.000486617	0.0132624	0.00697926666666667	0.0221000333333333
ENSMUSG00000000409	0.237007	0.228628966666667	0.2718245	0.320146333333333	0.1765385	0.165818	0.256239	0.205183
ENSMUSG00000000411	0	0	0.02315335	0.0146955666666667	0	0	0	0.0141137
ENSMUSG00000000416	0.0649165666666667	0.113526066666667	0.10709985	0.0184239	0.10234685	0.0338386	0.112989233333333	0.0361709333333333
ENSMUSG00000000420	11.8540333333333	16.5409666666667	14.62375	19.2486666666667	16.51115	13.9671	11.5354666666667	11.7755
ENSMUSG00000000439	2.29914666666667	2.33688666666667	1.745545	2.28044333333333	2.793955	2.30081666666667	2.26991666666667	2.21948
ENSMUSG00000000440	3.38383	2.73948333333333	3.3309	1.99549333333333	2.25636	2.96789333333333	2.48046666666667	2.96397
ENSMUSG00000000441	23.8819333333333	25.7813	23.77035	22.6052666666667	23.15085	20.4912666666667	26.2274	27.4066666666667
ENSMUSG00000000486	0.702285666666667	0.437117	0.486676	0.650674666666667	0.5160975	0.698606	1.020448	0.577241666666667
ENSMUSG00000000489	0.1097824	0.216527333333333	0.123855	0.0698135333333333	0.0961416	0.157970133333333	0.216299333333333	0.247466666666667
ENSMUSG00000000530	0.366471	0.583075	0.60456	0.546081	0.5953075	0.522652	0.816890333333333	0.338221
ENSMUSG00000000531	0.223725666666667	0.506186	0.4670335	0.554602	0.5976965	0.384389666666667	0.2581656	0.320442333333333
ENSMUSG00000000532	2.94610666666667	2.68917333333333	3.037085	2.29350333333333	3.17902	1.28945833333333	3.73132	2.43827
ENSMUSG00000000538	5.29567333333333	4.35785666666667	5.75066	5.78767666666667	5.08324	4.62238666666667	6.25273333333333	6.03239
ENSMUSG00000000552	4.05604	7.72842666666667	4.54624	4.99014	5.873025	2.67255333333333	5.6621	4.84092333333333
ENSMUSG00000000555	4.32821666666667	9.32643	6.04207	16.9368666666667	26.09525	3.44097333333333	5.59115	5.08178
ENSMUSG00000000560	0.0355463466666667	0.0500014666666667	0.04383365	0.0386596	0.042582	0.0403676966666667	0.0553177	0.0548427666666667
ENSMUSG00000000561	9.02105	11.1988	10.9858	10.8107266666667	10.231	7.79835666666667	8.57015333333333	8.53700666666667
ENSMUSG00000000562	0	6.65763333333333e-07	0	0	0.02233825	0.0743899333333333	0	0.011746814077
ENSMUSG00000000563	212.445	172.470666666667	186.411	204.298666666667	186.4205	263.997666666667	217.081333333333	226.446666666667
ENSMUSG00000000567	0.613412	2.06711	0.779697	0.626245	1.737015	0.532459333333333	0.776126	1.24551766666667
ENSMUSG00000000568	23.2482	20.6331	33.12305	26.2473	22.6411	14.5327	24.0325	16.6919
ENSMUSG00000000579	1.98422666666667	3.03515666666667	2.730035	3.76318666666667	4.27275	4.50437	3.26601	2.95760666666667
ENSMUSG00000000581	26.0842666666667	23.5424666666667	21.23015	21.5102333333333	21.421	38.9914	23.7146333333333	28.6198666666667
ENSMUSG00000000594	20.8817333333333	8.57434333333333	10.527695	18.4770333333333	26.13935	21.4724333333333	24.9933333333333	22.123
ENSMUSG00000000600	3.00486666666667	4.05885333333333	3.05837	4.11453666666667	4.51258	4.85395333333333	3.33892666666667	3.57798333333333
ENSMUSG00000000605	9.73968	11.8689333333333	11.57325	10.9334533333333	9.27921	9.31678666666667	9.59458666666667	9.47502333333333
ENSMUSG00000000617	0	0	0	0	0	0	0.0047834	0
ENSMUSG00000000627	0.0150008333333333	0.0040365	0.001308845	0.000208318333333333	0.0119655	0.0058797	0.0403857333333333	0.0652881333333333
ENSMUSG00000000628	0.259064	0.265750666666667	0.326596	0.310304666666667	0.3382445	0.346644666666667	0.303640666666667	0.140172733333333
ENSMUSG00000000631	20.3156333333333	21.2945	27.6607	18.0690333333333	21.2602	13.5525666666667	22.2300333333333	16.4785666666667
ENSMUSG00000000632	0	0.00125488	0	0.00154049333333333	0	0	0	0
ENSMUSG00000000673	374.521666666667	173.658666666667	192.8775	168.937	179.095	444.330333333333	330.073	387.531
ENSMUSG00000000682	4.18727333333333	4.63723333333333	5.160735	2.63971666666667	4.647945	9.00381	9.90151	4.58539666666667
ENSMUSG00000000686	5.69169	5.94764333333333	6.553195	6.27379	4.990455	3.40103666666667	4.81708	3.70067666666667
ENSMUSG00000000690	0.0164772666666667	0.0582957666666667	0.04808085	0.03747713	0.10433375	0.000427456666666667	0.0362233533333333	0.0685598
ENSMUSG00000000693	0.218443	0.378729666666667	0.2698205	0.422764333333333	0.4999565	0.310141333333333	0.237240666666667	0.285679666666667
ENSMUSG00000000706	0	0.00476473333333333	0	0	0	0	0	0
ENSMUSG00000000708	21.0870333333333	15.9448333333333	11.11	14.9686333333333	11.6704	23.4098333333333	16.3566	17.7009666666667
ENSMUSG00000000711	27.9952666666667	22.7851333333333	20.75905	19.5396333333333	20.2586	23.6284	25.3864	26.8149333333333
ENSMUSG00000000724	0	0.00872796666666667	0	0	0	0	0.0146551333333333	0.00973736666666667
ENSMUSG00000000730	0	0	0	0	0	0	0	0
ENSMUSG00000000731	0.00122954	0	0	0	0	0	0	0
ENSMUSG00000000732	0.1322285	0.485834666666667	0.5268835	1.019694	1.0847875	0.151320333333333	0.341597333333333	0.142151
ENSMUSG00000000751	10.7116866666667	10.9345666666667	16.83375	44.5542	25.3367	8.02845	10.89144	9.59564
ENSMUSG00000000753	620.778	315.055333333333	320.226	317.567333333333	279.17	389.754666666667	571.64	594.081
ENSMUSG00000000759	3.19763	3.78634333333333	3.412725	5.99546	5.692525	4.10147666666667	3.44838666666667	3.77082333333333
ENSMUSG00000000776	3.18667666666667	3.80705333333333	4.05445	4.36781	4.68227	3.80899333333333	3.08149666666667	2.9015
